id	term	region	sex	name	surname	party	change
Abbas.Bozyel	21	Iğdır	M	Abbas	Bozyel	MHP	
AbdulAhat.Andican	21	İstanbul	M	Abdul Ahat	Andican	ANAP	
AbdulAhat.Andican	27	İstanbul	M	Abdul Ahat	Andican	IYI	
Abdulahat.Arvas	27	Van	M	Abdulahat	Arvas	AKP	
Abdulaziz.Yazar	22	Hatay	M	Abdulaziz	Yazar	CHP	
Abdulaziz.Yazar	23	Hatay	M	Abdulaziz	Yazar	CHP	
Abdulbaki.Erdoğmuş	21	Diyarbakır	M	Abdulbaki	Erdoğmuş	ANAP	
Abdulbaki.Türkoğlu	22	Elazığ	M	Abdulbaki	Türkoğlu	AKP	
Abdulhadi.Akaydın	23	Diyarbakır	M	Abdulhadi	Akaydın	AKP	
Abdülhadi.Kahya	23	Hatay	M	Abdülhadi	Kahya	AKP	
AbdulhalukMehmet.Çay	21	Çorum	M	Abdulhaluk Mehmet	Çay	MHP	
Abdülhamit.Gül	25	Gaziantep	M	Abdülhamit	Gül	AKP	
Abdulhamit.Gül	26	Gaziantep	M	Abdulhamit	Gül	AKP	
Abdulhamit.Gül	27	Gaziantep	M	Abdulhamit	Gül	AKP	Milletvekilliğinden istifa
Abdülkadir.Akcan	21	Afyonkarahisar	M	Abdülkadir	Akcan	MHP	
Abdülkadir.Akcan	23	Afyonkarahisar	M	Abdülkadir	Akcan	MHP	
Abdulkadir.Akgül	23	Yozgat	M	Abdulkadir	Akgül	AKP	
Abdülkadir.Akgül	25	Yozgat	M	Abdülkadir	Akgül	AKP	
Abdülkadir.Akgül	26	Yozgat	M	Abdülkadir	Akgül	AKP	
Abdülkadir.Aksu	21	İstanbul	M	Abdülkadir	Aksu	FAZILET	
Abdülkadir.Aksu	22	İstanbul	M	Abdülkadir	Aksu	AKP	
Abdülkadir.Aksu	23	İstanbul	M	Abdülkadir	Aksu	AKP	
Abdülkadir.Aksu	24	İstanbul	M	Abdülkadir	Aksu	AKP	
Abdülkadir.Ateş	22	Gaziantep	M	Abdülkadir	Ateş	CHP	
AbdulkadirEmin.Önen	23	Şanlıurfa	M	Abdulkadir Emin	Önen	AKP	
AbdulkadirEmin.Önen	24	Urfa	M	Abdulkadir Emin	Önen	AKP	
Abdulkadir.Karaduman	27	Konya	M	Abdulkadir	Karaduman	CHP	SAADET
Abdulkadir.Kart	22	Rize	M	Abdulkadir	Kart	AKP	
Abdulkadir.Özel	27	Hatay	M	Abdulkadir	Özel	AKP	
Abdulkadir.Yüksel	26	Gaziantep	M	Abdulkadir	Yüksel	AKP	Vefat
Abdülkerim.Aydemir	23	Ağrı	M	Abdülkerim	Aydemir	AKP	
Abdulkerim.Gök	24	Urfa	M	Abdulkerim	Gök	AKP	
Abdullah.Ağralı	25	Konya	M	Abdullah	Ağralı	AKP	
Abdullah.Ağralı	26	Konya	M	Abdullah	Ağralı	AKP	
Abdullah.Ağralı	27	Konya	M	Abdullah	Ağralı	AKP	
